epoch,train_loss,target_acc,avg_source_acc,worst_source_acc,acc_art_painting,acc_cartoon,acc_photo,acc_sketch
1,1.160355547641186,0.5505217612624077,0.9613425925186743,0.9372866894197952,0.95751953125,0.9372866894197952,0.9892215568862276,0.5505217612624077
2,0.6056807307486839,0.6665818274370069,0.9937807086339268,0.9921875,0.9921875,0.9927474402730375,0.9964071856287425,0.6665818274370069
3,0.5469348855475162,0.6065156528378722,0.9920614249583171,0.98779296875,0.98779296875,0.9901877133105802,0.9982035928143712,0.6065156528378722
4,0.5466395698963328,0.6100789004835836,0.9920742239922885,0.9876279863481229,0.9921875,0.9876279863481229,0.9964071856287425,0.6100789004835836
5,0.5147472600987617,0.6899974548231103,0.998045986871181,0.9970059880239521,0.99755859375,0.9995733788395904,0.9970059880239521,0.6899974548231103
6,0.5006174052015264,0.6767625349961822,0.9958580871799491,0.99560546875,0.99560546875,0.996160409556314,0.9958083832335329,0.6767625349961822
7,0.49834587028686034,0.7192669890557394,0.9978352535277142,0.99658203125,0.99658203125,0.9987201365187713,0.9982035928143712,0.7192669890557394
8,0.4840755817737985,0.7215576482565539,0.9990850975895905,0.99853515625,0.99853515625,0.9987201365187713,1.0,0.7215576482565539
9,0.47604739602575913,0.7179944006108424,0.9996950325298636,0.99951171875,0.99951171875,0.9995733788395904,1.0,0.7179944006108424
10,0.4701487206398173,0.6767625349961822,0.9992958309330571,0.9988023952095808,0.99951171875,0.9995733788395904,0.9988023952095808,0.6767625349961822
11,0.4679671453034624,0.7381012980402138,0.9998577929465302,0.9995733788395904,1.0,0.9995733788395904,1.0,0.7381012980402138
12,0.4608166214633495,0.7228302367014507,1.0,1.0,1.0,1.0,1.0,0.7228302367014507
13,0.4615687781825979,0.6726902519725121,1.0,1.0,1.0,1.0,1.0,0.6726902519725121
14,0.4557631044311726,0.7658437261389667,1.0,1.0,1.0,1.0,1.0,0.7658437261389667
15,0.45531520152345617,0.7312293204377704,1.0,1.0,1.0,1.0,1.0,0.7312293204377704
16,0.4536286671745016,0.7465003817765334,1.0,1.0,1.0,1.0,1.0,0.7465003817765334
17,0.4543294821013796,0.7330109442606261,1.0,1.0,1.0,1.0,1.0,0.7330109442606261
18,0.4528100255956041,0.6581827437006872,0.9998577929465302,0.9995733788395904,1.0,0.9995733788395904,1.0,0.6581827437006872
19,0.45397166337104555,0.7118859760753372,1.0,1.0,1.0,1.0,1.0,0.7118859760753372
20,0.45812522128541416,0.7052685161618732,1.0,1.0,1.0,1.0,1.0,0.7052685161618732
