epoch,lambda,train_loss,irm_penalty,target_acc,avg_source_acc,worst_source_acc,acc_art_painting,acc_cartoon,acc_photo,acc_sketch
1,0.1,1.0399499547888906,0.11955760304487131,0.5955713922117587,0.8912791777260326,0.7999146757679181,0.8876953125,0.7999146757679181,0.9862275449101796,0.5955713922117587
2,0.1,0.3187268510353651,0.032195117168811904,0.7126495291422754,0.9342294187222824,0.8873720136518771,0.9296875,0.8873720136518771,0.98562874251497,0.7126495291422754
3,0.1,0.2146653472680411,0.02843900084019833,0.6589462967676254,0.9457744307673049,0.8963310580204779,0.951171875,0.8963310580204779,0.9898203592814371,0.6589462967676254
4,0.1,0.17428561637727477,0.022858706919565167,0.7391193687961314,0.9645875564357632,0.9368600682593856,0.962890625,0.9368600682593856,0.9940119760479041,0.7391193687961314
5,0.1,0.12667852019716938,0.014254676270748409,0.7291931789259354,0.9790513236804973,0.9603242320819113,0.97802734375,0.9603242320819113,0.9988023952095808,0.7291931789259354
6,1.0,0.12696387793989383,0.015651682578228777,0.7111224230083991,0.978943402391037,0.9628839590443686,0.9775390625,0.9628839590443686,0.9964071856287425,0.7111224230083991
7,1.0,0.13071089031563388,0.014170897423780504,0.7327564265716467,0.9790213494991672,0.9620307167235495,0.97802734375,0.9620307167235495,0.9970059880239521,0.7327564265716467
8,1.0,0.12245929789253705,0.011427417060815924,0.7279205904810384,0.9735097151846052,0.9581911262798635,0.96533203125,0.9581911262798635,0.9970059880239521,0.7279205904810384
9,1.0,0.13746796874329448,0.015052137761996563,0.7291931789259354,0.974454591776345,0.9577645051194539,0.966796875,0.9577645051194539,0.9988023952095808,0.7291931789259354
10,1.0,0.13246015683754528,0.013890122772837661,0.7279205904810384,0.9808194684117261,0.9641638225255973,0.9794921875,0.9641638225255973,0.9988023952095808,0.7279205904810384
11,1.0,0.12929174009871355,0.014540865289536473,0.7228302367014507,0.9799979119991672,0.9620307167235495,0.98095703125,0.9620307167235495,0.9970059880239521,0.7228302367014507
12,1.0,0.12294565940530394,0.01246033242247034,0.7225757190124714,0.9725416853739194,0.9564846416382252,0.96533203125,0.9564846416382252,0.9958083832335329,0.7225757190124714
13,1.0,0.1153340888336944,0.010780512946138575,0.744209722575719,0.9781038472330085,0.9581911262798635,0.978515625,0.9581911262798635,0.9976047904191617,0.744209722575719
14,1.0,0.1286164194667082,0.013948310833158836,0.7388648511071519,0.9766578903572974,0.9611774744027304,0.97119140625,0.9611774744027304,0.9976047904191617,0.7388648511071519
15,1.0,0.13495667416789978,0.013896498927116233,0.7383558157291932,0.9727754169295794,0.9496587030716723,0.97705078125,0.9496587030716723,0.9916167664670659,0.7383558157291932
16,1.0,0.120953550622564,0.012774565725724663,0.7281751081700178,0.9818765778756054,0.9658703071672355,0.98095703125,0.9658703071672355,0.9988023952095808,0.7281751081700178
17,1.0,0.14785465327419822,0.015531009550980232,0.7149401883430898,0.976478842922091,0.9607508532423208,0.9716796875,0.9607508532423208,0.9970059880239521,0.7149401883430898
18,1.0,0.12025286010031006,0.012266228984699671,0.7274115551030796,0.9748049323175322,0.9564846416382252,0.9697265625,0.9564846416382252,0.9982035928143712,0.7274115551030796
19,1.0,0.11604169504247981,0.012772236123434838,0.714431152965131,0.980154739582269,0.966296928327645,0.9765625,0.966296928327645,0.9976047904191617,0.714431152965131
20,1.0,0.13632130148157262,0.01428435383935747,0.6602188852125223,0.9734545208058711,0.9304607508532423,0.99169921875,0.9304607508532423,0.9982035928143712,0.6602188852125223
