epoch,train_loss,target_acc,avg_source_acc,worst_source_acc,acc_art_painting,acc_cartoon,acc_photo,acc_sketch
1,0.40523393737508895,0.7113769406973784,0.9667867243861253,0.9577645051194539,0.9599609375,0.9577645051194539,0.9826347305389221,0.7113769406973784
2,0.1277813539305266,0.5823364723848308,0.9764335603270847,0.96533203125,0.96533203125,0.9735494880546075,0.9904191616766467,0.5823364723848308
3,0.08199405575052221,0.6630185797912955,0.984898923489412,0.9799488054607508,0.98193359375,0.9799488054607508,0.9928143712574851,0.6630185797912955
4,0.07495452334826931,0.6006617459913464,0.9904286663181742,0.98486328125,0.98486328125,0.9906143344709898,0.9958083832335329,0.6006617459913464
5,0.05390780018840698,0.5487401374395521,0.984182643272542,0.9671501706484642,0.98779296875,0.9671501706484642,0.9976047904191617,0.5487401374395521
6,0.04476945958238967,0.7009417154492237,0.9955540078386317,0.99169921875,0.99169921875,0.996160409556314,0.9988023952095808,0.7009417154492237
7,0.038731155976494576,0.734283532705523,0.9953416080062572,0.9873046875,0.9873046875,0.9987201365187713,1.0,0.734283532705523
8,0.023104501115356352,0.6441842708068211,0.9937764422892696,0.99072265625,0.99072265625,0.9936006825938567,0.9970059880239521,0.6441842708068211
9,0.0164930472308968,0.6968694324255535,0.9978189665091745,0.99755859375,0.99755859375,0.9982935153583617,0.9976047904191617,0.6968694324255535
10,0.022440652045956317,0.693815220157801,0.9970831115339713,0.99560546875,0.99560546875,0.9974402730375427,0.9982035928143712,0.693815220157801
11,0.014585850264956342,0.7241028251463477,0.9996744791666666,0.9990234375,0.9990234375,1.0,1.0,0.7241028251463477
12,0.008863265427978748,0.7073046576737083,0.9993489583333334,0.998046875,0.998046875,1.0,1.0,0.7073046576737083
13,0.007629795594418303,0.7286841435479766,0.9998372395833334,0.99951171875,0.99951171875,1.0,1.0,0.7286841435479766
14,0.006443025643362644,0.6996691270043268,1.0,1.0,1.0,1.0,1.0,0.6996691270043268
15,0.0026073719355020116,0.689233901756172,1.0,1.0,1.0,1.0,1.0,0.689233901756172
16,0.0031829635672112728,0.7294476966149147,1.0,1.0,1.0,1.0,1.0,0.7294476966149147
17,0.00442992101245104,0.7284296258589972,1.0,1.0,1.0,1.0,1.0,0.7284296258589972
18,0.00391272633792238,0.7358106388393993,1.0,1.0,1.0,1.0,1.0,0.7358106388393993
19,0.0028833934759840054,0.7281751081700178,1.0,1.0,1.0,1.0,1.0,0.7281751081700178
20,0.0040600376124394705,0.7291931789259354,1.0,1.0,1.0,1.0,1.0,0.7291931789259354
